SonnetID	joy	sadness	anger	fear	disgust
FcodeBorjaYAragonPrincipeEsquilache_35	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_4	2	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_40	1	0	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_41	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_42	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_43	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_45	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_46	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_47	2	2	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_49	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_5	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_50	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_53	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_54	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_56	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_57	1	0	0	0	1
FcodeBorjaYAragonPrincipeEsquilache_58	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_59	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_6	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_61	0	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_63	0	0	2	0	0
FcodeBorjaYAragonPrincipeEsquilache_64	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_65	1	0	1	0	0
FcodeBorjaYAragonPrincipeEsquilache_66	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_68	0	3	0	2	0
FcodeBorjaYAragonPrincipeEsquilache_69	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_7	0	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_71	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_73	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_74	0	2	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_75	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_76	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_77	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_78	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_8	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_81	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_82	0	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_84	2	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_85	1	1	1	0	1
FcodeBorjaYAragonPrincipeEsquilache_86	1	1	1	0	1
FcodeBorjaYAragonPrincipeEsquilache_87	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_89	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_91	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_92	2	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_93	1	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_94	1	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_95	1	1	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_97	3	0	0	0	0
FcodeBorjaYAragonPrincipeEsquilache_98	0	1	0	1	0
FcodeBorjaYAragonPrincipeEsquilache_99	2	0	0	0	0
FernandoDeHerrera_10	0	1	0	1	0
FernandoDeHerrera_100	1	0	0	0	0
FernandoDeHerrera_105	0	1	0	1	0
FernandoDeHerrera_106	2	0	0	0	0
FernandoDeHerrera_107	1	0	0	0	0
FernandoDeHerrera_108	1	1	1	0	0
FernandoDeHerrera_109	1	0	0	0	0
FernandoDeHerrera_11	1	1	0	1	0
FernandoDeHerrera_110	1	0	0	0	0
FernandoDeHerrera_111	1	0	0	0	0
FernandoDeHerrera_113	2	0	0	0	0
FernandoDeHerrera_114	1	0	0	0	0
FernandoDeHerrera_115	0	1	0	0	0
FernandoDeHerrera_117	1	0	0	0	0
FernandoDeHerrera_118	1	0	0	0	0
FernandoDeHerrera_12	2	0	0	0	0
FernandoDeHerrera_122	1	0	0	0	0
FernandoDeHerrera_126	2	0	0	0	0
FernandoDeHerrera_128	1	0	0	0	0
FernandoDeHerrera_13	0	1	0	1	0
FernandoDeHerrera_135	0	1	0	0	0
FernandoDeHerrera_136	2	0	0	0	0
FernandoDeHerrera_137	1	0	0	0	0
FernandoDeHerrera_140	1	0	0	0	0
FernandoDeHerrera_142	1	0	0	0	0
FernandoDeHerrera_146	0	0	0	1	0
FernandoDeHerrera_147	0	1	0	1	0
FernandoDeHerrera_149	0	1	0	0	0
FernandoDeHerrera_152	2	0	0	0	0
FernandoDeHerrera_155	2	0	0	0	0
FernandoDeHerrera_156	1	1	0	1	0
FernandoDeHerrera_159	1	0	0	0	0
FernandoDeHerrera_161	1	0	0	0	0
FernandoDeHerrera_162	1	0	0	0	0
